WEEK ENDING,HOMICIDE,RAPE (11A) *,RAPE (11B & 11C) *,COMMERCIAL ROBBERY,STREET ROBBERY,RESIDENTIAL ROBBERY,AGG ASSAULT w/ GUN,AGG ASSAULT w/o GUN,TOTAL VIOLENT,COMMERCIAL BURGLARY,RESIDENTIAL BURGLARY,SUDDEN SNATCHING,SHOPLIFTING,THEFT FROM VEHICLE,THEFT FROM YARD,THEFT FROM BLDG,OTHER LARCENY,AUTO THEFT,TOTAL PROPERTY,TOTAL PART I,Midnight Shift,Day Shift Calls,Afternoon Shift Calls,TOTAL CITIZEN CFS,53S ShotSpotter Calls,Sig 53 Shots Fired Calls
2017-06-03,0,3,0,1,7,0,5,8,24,4,21,2,33,45,21,26,4,23,179,203,564,1140,1361,3065,33,83
2017-06-10,1,1,1,1,3,0,4,7,18,4,17,0,27,45,19,35,9,21,177,195,480,1103,1205,2788,16,46
2017-05-27,0,2,0,2,6,0,8,4,22,4,24,1,46,42,21,29,2,27,196,218,456,1231,1274,2961,17,52
2017-05-20,0,0,1,1,7,0,6,5,20,4,21,0,35,69,27,31,7,22,216,236,519,1197,1379,3095,18,56
2017-05-13,0,1,3,1,6,0,10,10,31,2,18,2,37,43,14,31,6,22,175,206,532,1191,1303,3026,15,53
2017-05-06,3,0,4,4,5,1,6,5,28,0,25,2,32,33,20,19,1,25,157,185,473,1187,1240,2900,18,40
2017-04-29,3,2,0,4,4,2,9,8,32,0,27,4,34,47,20,17,3,13,165,197,506,1115,1317,2938,27,75
2017-04-22,0,1,0,0,7,3,9,5,25,7,22,2,30,31,18,26,8,16,160,185,532,1271,1459,3262,34,55
2017-04-15,0,0,1,2,3,0,5,8,19,6,14,2,39,40,17,23,2,15,158,177,496,1275,1321,3092,27,79
2017-04-08,0,3,0,3,4,1,8,6,25,5,24,1,23,34,18,16,5,18,144,169,489,1246,1327,3062,13,56
2017-04-01,0,1,3,1,5,0,5,10,25,0,21,0,33,34,16,19,3,15,141,166,526,1261,1411,3198,23,96
2017-03-18,1,3,3,0,1,2,1,5,16,3,19,4,25,21,12,29,3,21,137,153,490,1185,1321,2996,18,38
2017-03-11,2,0,0,1,6,0,6,6,21,8,17,4,33,29,14,15,4,20,144,165,526,1257,1282,3065,24,44
2017-03-04,1,1,,4,6,0,6,2,20,4,19,1,40,41,17,22,6,14,164,184,478,1264,1227,2969,25,38
2017-02-25,0,0,,8,1,0,5,4,18,2,29,3,36,30,8,28,0,20,156,174,520,1266,1225,3011,19,56
2017-02-18,0,0,,0,0,0,1,1,2,0,3,1,6,17,2,2,0,3,34,36,135,290,358,783,4,24
2017-02-11,0,0,,4,4,0,7,7,22,3,21,3,36,59,12,25,2,25,186,208,499,1203,1250,2952,21,44
2017-02-04,0,0,,1,10,1,4,5,21,5,23,2,32,31,14,20,4,12,143,164,503,1188,1281,2972,39,56
2017-01-28,1,0,,4,2,0,3,5,15,3,21,3,30,51,17,14,4,18,161,176,526,1168,1182,2876,11,59
2017-01-21,2,2,,0,4,0,7,3,18,1,19,3,29,44,26,16,2,18,158,176,467,1159,1305,2931,18,51
2017-01-14,1,0,,0,4,1,5,5,16,4,23,0,39,38,13,18,7,16,158,174,470,1160,1176,2806,17,51
2017-01-07,0,0,,2,4,1,3,6,16,4,20,0,35,42,10,18,1,16,146,162,700,1179,1178,3057,99,131
