CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170323001, 3/22/17,We,23:34,23,Afternoon,1203,ROB,CR,"2175 BLK BENTON BLVD, SAV",Savannah,8506X,Godley Station,01,11,"ROBBERY,BUSINESS,STRONGAR"
170320085, 3/20/17,Mo,12:39,12,Day,1304,AGG,GUN,219 FONTENOT DR,COU,6712X,Cottonvale Road,01,12,"AGG ASSAULT,NON-DOM,GUN,N"
170325096, 3/25/17,Sa,13:56,13,Day,1304,AGG,GUN,"BERWICK BLVD/OGEECHEE RD, COU",COUNTY,6701X,Berwick,01,12,"AGG ASSAULT,NON-DOM,GUN,N"
170323142, 3/23/17,Th,16:01,16,Afternoon,1315,AGG,NO GUN,800 QUACCO RD #531,COU,8240X,Quacco Road/Lauralwood,01,12,AGGRAVATED  BATTERY
170324055, 3/24/17,Fr,10:26,10,Day,2202,BURG,RB,"1 DUKES WAY #10, COU",Savannah,5762B,Georgetown,01,14,"BURG,FORCED RESIDENC"
170321102, 3/22/17,We,10:00,10,Day,2202,BURG,RB,174 RICE MILL DR,COU,5762C,Wild Heron/Southern Woods/Habersham Plant.,01,14,"BURG,FORCED RESIDENC"
170325166, 3/25/17,Sa,22:57,22,Afternoon,2204,BURG,RB,"2155 BENTON BLVD #6101, SAV",Savannah,8506X,Godley Station,01,11,"BURG,NO FORCE,RESIDENTIAL"
170325045, 3/25/17,Sa,08:41,08,Day,2303,LAR,SHPL,"4628 OGEECHEE RD, SAV",SAVANNAH,6501A,Salt Creek,01,12,"LARCENY,SHOPLIFTING"
170323175, 3/23/17,Th,19:01,19,Afternoon,2303,LAR,SHPL,"6000 OGEECHEE RD, COU",COUNTY,6732A,Henderson,01,16,"LARCENY,SHOPLIFTING"
170320051, 3/20/17,Mo,10:00,10,Day,2305,LAR,LA,"15000 ABERCORN ST, COU",COUNTY,6745X,Sweetwater Plantation,01,14,"LARCENY,ENTERING AUTO"
170323057, 3/23/17,Th,09:24,09,Day,2305,LAR,LA,"10 SHETLAND CT, COU",COUNTY,8240X,Quacco Road/Lauralwood,01,12,"LARCENY,ENTERING AUTO"
170322134, 3/22/17,We,17:30,17,Afternoon,2305,LAR,LA,1602 MITCHELL ST,SAVANNAH,6356A,Liberty City,01,15,"LARCENY,ENTERING AUTO"
170321020, 3/21/17,Tu,07:12,07,Midnight,2305,LAR,LA,"118 BROADWING CIR, COU",COUNTY,6520C,Azalea Plaza/Buckhalter Road,01,12,"LARCENY,ENTERING AUTO"
170319021, 3/19/17,Su,01:26,01,Midnight,2308,LAR,LB,"1515 BENTON BLVD #1323, SAV",Savannah,8516X,Godley Station,01,11,"LARCENY,FROM BUILDING"
170324034, 3/24/17,Fr,08:12,08,Day,2308,LAR,LB,"1 SAINT GEORGE BLVD, COU",Savannah,5761X,Sugar Mill,01,14,"LARCENY,FROM BUILDING"
170316153, 3/20/17,Mo,16:05,16,Afternoon,2308,LAR,LB,1355 BRADLEY BLVD,SAVANNAH,6746X,Bradley Pointe South,01,14,"LARCENY,FROM BUILDING"
